dataset,tau,method,seed,epoch,train_objective,test_pauc
cifar10,0.05,SCENT,79,60,0.24435581,0.62046478
cifar10,0.05,SOX,79,60,0.21200727,0.68757384
cifar10,0.1,SCENT,79,60,0.15676889,0.69578439
cifar10,0.1,SOX,79,60,0.15543450,0.69317945
cifar10,0.05,SCENT,2024,60,0.20076613,0.69372208
cifar10,0.05,SOX,2024,60,0.19260165,0.69050631
cifar10,0.1,SCENT,2024,60,0.15686470,0.69590314
cifar10,0.1,SOX,2024,60,0.15546340,0.69308004
cifar10,0.05,SCENT,2602,60,0.23643975,0.67654494
cifar10,0.05,SOX,2602,60,0.19572739,0.68931533
cifar10,0.1,SCENT,2602,60,0.15685032,0.69525851
cifar10,0.1,SOX,2602,60,0.15561187,0.69252447
cifar100,0.05,SCENT,79,60,0.21986182034015656,0.581609568627451
cifar100,0.05,SOX,79,60,0.2203618437051773,0.586430431372549
cifar100,0.1,SCENT,79,60,0.19483911991119385,0.5907101960784313
cifar100,0.1,SOX,79,60,0.1963682919740677,0.5881458823529412
cifar100,0.05,SCENT,2024,60,0.22054889798164368,0.5795619607843137
cifar100,0.05,SOX,2024,60,0.2185986042022705,0.5856462745098039
cifar100,0.1,SCENT,2024,60,0.19470709562301636,0.5899124705882353
cifar100,0.1,SOX,2024,60,0.19567836821079254,0.5875530196078431
cifar100,0.05,SCENT,2602,60,0.22038474678993225,0.5834416470588235
cifar100,0.05,SOX,2602,60,0.2235364317893982,0.5869441176470588
cifar100,0.1,SCENT,2602,60,0.1959868222475052,0.5896900392156863
cifar100,0.1,SOX,2602,60,0.19677115976810455,0.5876190980392157
