dataset,tau,method,seed,epoch,train_objective,test_pauc
cifar10,0.05,SCENT,79,60,0.24435581,0.62046478
cifar10,0.05,SOX,79,60,0.21200727,0.68757384
cifar10,0.1,SCENT,79,60,0.15676889,0.69578439
cifar10,0.1,SOX,79,60,0.15543450,0.69317945
cifar10,0.05,SCENT,2024,60,0.20076613,0.69372208
cifar10,0.05,SOX,2024,60,0.19260165,0.69050631
cifar10,0.1,SCENT,2024,60,0.15686470,0.69590314
cifar10,0.1,SOX,2024,60,0.15546340,0.69308004
cifar10,0.05,SCENT,2602,60,0.23643975,0.67654494
cifar10,0.05,SOX,2602,60,0.19572739,0.68931533
cifar10,0.1,SCENT,2602,60,0.15685032,0.69525851
cifar10,0.1,SOX,2602,60,0.15561187,0.69252447
